relative_path,git_status,extension,staged_size_bytes,category,security_status,large_file_status,submission_zip_status,note
.dockerignore,A,,94,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
.env.example,A,.example,647,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
.gitignore,A,,764,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
README.en.md,A,.md,3966,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
README.md,A,.md,4863,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
backend/README.md,A,.md,1162,backend,allowlisted_public,ok,include,staged blob snapshot
backend/__init__.py,A,.py,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/auth/__init__.py,A,.py,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/auth/kakao.py,A,.py,1831,backend,allowlisted_public,ok,include,staged blob snapshot
backend/auth/router.py,A,.py,1978,backend,allowlisted_public,ok,include,staged blob snapshot
backend/core/__init__.py,A,.py,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/core/config.py,A,.py,3719,backend,allowlisted_public,ok,include,staged blob snapshot
backend/core/db.py,A,.py,2748,backend,allowlisted_public,ok,include,staged blob snapshot
backend/core/jwt.py,A,.py,516,backend,allowlisted_public,ok,include,staged blob snapshot
backend/crawler/__init__.py,A,.py,1,backend,allowlisted_public,ok,include,staged blob snapshot
backend/crawler/collector.py,A,.py,24073,backend,allowlisted_public,ok,include,staged blob snapshot
backend/crawler/constants.py,A,.py,477,backend,allowlisted_public,ok,include,staged blob snapshot
backend/crawler/parser.py,A,.py,6953,backend,allowlisted_public,ok,include,staged blob snapshot
backend/crawler/url_builder.py,A,.py,1673,backend,allowlisted_public,ok,include,staged blob snapshot
backend/data/.gitkeep,A,,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/data/saved_flights/.gitkeep,A,,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/data/settings/.gitkeep,A,,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/data/store.py,A,.py,3557,backend,allowlisted_public,ok,include,staged blob snapshot
backend/flights/__init__.py,A,.py,1,backend,allowlisted_public,ok,include,staged blob snapshot
backend/flights/router.py,A,.py,2267,backend,allowlisted_public,ok,include,staged blob snapshot
backend/flights/schema.py,A,.py,826,backend,allowlisted_public,ok,include,staged blob snapshot
backend/flights/search_manager.py,A,.py,5110,backend,allowlisted_public,ok,include,staged blob snapshot
backend/flights/service.py,A,.py,3670,backend,allowlisted_public,ok,include,staged blob snapshot
backend/main.py,A,.py,3428,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/README.md,A,.md,1685,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/__init__.py,A,.py,231,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/build_enc_mappings.py,A,.py,4094,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/history.py,A,.py,3832,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/model_runtime.py,A,.py,11346,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/model_status.py,A,.py,2412,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/oneway_adapter.py,A,.py,18213,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/roundtrip_adapter.py,A,.py,2831,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/roundtrip_feature_builder.py,A,.py,15959,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/smoke_oneway.py,A,.py,5028,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/smoke_server_oneway.py,A,.py,4911,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/smoke_server_roundtrip.py,A,.py,4616,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/smoke_server_roundtrip_batch.py,A,.py,8614,backend,allowlisted_public,ok,include,staged blob snapshot
backend/ml_inference/smoke_server_roundtrip_feature.py,A,.py,5825,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/__init__.py,A,.py,34,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/job_store.py,A,.py,4779,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/job_worker.py,A,.py,6024,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/oneway_refresh_executor.py,A,.py,13111,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/oneway_refresh_job.py,A,.py,15394,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/roundtrip_refresh_executor.py,A,.py,13474,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/roundtrip_refresh_job.py,A,.py,15292,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/route_analysis.py,A,.py,22222,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/router.py,A,.py,15403,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/schema.py,A,.py,12118,backend,allowlisted_public,ok,include,staged blob snapshot
backend/recommend/service.py,A,.py,74060,backend,allowlisted_public,ok,include,staged blob snapshot
backend/requirements-model.txt,A,.txt,77,backend,allowlisted_public,ok,include,staged blob snapshot
backend/requirements.txt,A,.txt,162,backend,allowlisted_public,ok,include,staged blob snapshot
backend/scripts/__init__.py,A,.py,1,backend,allowlisted_public,ok,include,staged blob snapshot
backend/scripts/refresh_route_analysis_snapshot.py,A,.py,2890,backend,allowlisted_public,ok,include,staged blob snapshot
backend/scripts/refresh_route_analysis_snapshot_if_needed.py,A,.py,7615,backend,allowlisted_public,ok,include,staged blob snapshot
backend/users/__init__.py,A,.py,0,backend,allowlisted_public,ok,include,staged blob snapshot
backend/users/router.py,A,.py,3392,backend,allowlisted_public,ok,include,staged blob snapshot
configs/README.md,A,.md,198,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/backend.env.example,A,.example,113,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/crawler.example.yaml,A,.yaml,265,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/dataset.example.yaml,A,.yaml,206,config_example,allowlisted_public,ok,include,staged blob snapshot
configs/training.example.yaml,A,.yaml,226,config_example,allowlisted_public,ok,include,staged blob snapshot
data/README.md,A,.md,230,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/README.md,A,.md,285,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/sample_features.csv,A,.csv,168,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/sample_flight_offer_observation.csv,A,.csv,322,sample_data,allowlisted_public,ok,include,staged blob snapshot
data/sample/sample_search_observation.csv,A,.csv,219,sample_data,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-backend.service,A,.service,343,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-backup.service,A,.service,332,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-backup.timer,A,.timer,198,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-pipeline.service,A,.service,345,deployment,allowlisted_public,ok,include,staged blob snapshot
deploy/systemd/airchoice-pipeline.timer,A,.timer,261,deployment,allowlisted_public,ok,include,staged blob snapshot
docker-compose.yml,A,.yml,2248,repository_metadata,allowlisted_public,ok,include,staged blob snapshot
docker/crawler/Dockerfile,A,,587,deployment,allowlisted_public,ok,include,staged blob snapshot
docker/loader/Dockerfile,A,,226,deployment,allowlisted_public,ok,include,staged blob snapshot
docs/en/api_contract.md,A,.md,406,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/architecture.md,A,.md,411,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/data_and_training_summary.md,A,.md,413,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/deployment_notes.md,A,.md,480,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/frontend_guide.md,A,.md,302,docs,allowlisted_public,ok,include,staged blob snapshot
docs/en/model_overview.md,A,.md,371,docs,allowlisted_public,ok,include,staged blob snapshot
docs/internal_phase_logs_excluded.md,A,.md,642,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/api_contract.md,A,.md,931,docs,allowlisted_public,ok,include,staged blob snapshot
